policy,reviews,hours,cost,incidents,wasted,savings,_cost,_sav,_sav_h,_inc,_wst
manual,0,515.4 ± 1.7,"37,109 ± 125",0.0 ± 0.0,0.0 ± 0.0,—,37108.8,0.0,0.0,0.0,0.0
rule,0,277.3 ± 5.0,"19,968 ± 363",0.0 ± 0.0,7.2 ± 1.0,46.2 ± 0.9%,19967.520000000004,46.19407547474309,0.9322449995697086,0.0,7.25
automate_all,0,402.6 ± 14.5,"28,989 ± 1,044",75.3 ± 3.9,53.9 ± 2.6,21.9 ± 2.7%,28989.3,21.89782775251008,2.689182131989697,75.3,53.9
automate_all_guard,0,324.7 ± 5.5,"23,379 ± 399",0.0 ± 0.0,44.0 ± 1.9,37.0 ± 1.0%,23379.299999999996,37.00079131604965,1.0145195970425467,0.0,43.95
full_ai,0,296.9 ± 5.0,"21,889 ± 361",0.0 ± 0.0,7.2 ± 1.1,41.0 ± 0.9%,21889.139999999996,41.017120478165666,0.8992015094370677,0.0,7.15
proposed,3,285.6 ± 3.7,"21,076 ± 269",0.0 ± 0.0,0.1 ± 0.2,43.2 ± 0.8%,21076.17,43.19991752857015,0.776271877358771,0.0,0.15
